Student_ID,Age,Gender,Course,Logins,Content_Reads,Forum_Posts,Quiz_Reviews,Assignment1_Late,Assignment2_Late,Assignment3_Late,Avg_Assignment_Time,Engagement_Level,Risk_Score,Risk_Level,Dropout,Suggestion
STU1592,19,Female,EEE,155,137,14,3,0,0,0,248,Low,54.93,Medium Risk,No,Improve consistency
STU1593,23,Male,CSE,279,167,41,4,0,0,0,288,High,20.2,Low Risk,No,Maintain performance
STU1594,22,Male,EEE,80,794,28,7,0,1,0,210,High,58.53,Medium Risk,No,Improve consistency
STU1595,21,Male,IT,224,403,22,0,0,0,0,295,Low,46.93,Medium Risk,No,Improve consistency
STU1596,19,Male,CSE,191,521,16,0,0,0,1,230,Low,64.93,Medium Risk,No,Improve consistency
STU1597,21,Male,CSE,293,54,8,8,1,0,0,171,Low,40.13,Medium Risk,No,Improve consistency
STU1598,24,Male,EEE,32,117,49,8,1,0,0,192,Low,50.33,Medium Risk,No,Improve consistency
STU1599,19,Male,ECE,184,228,35,3,0,0,1,274,Low,48.47,Medium Risk,No,Improve consistency
STU1600,19,Male,EEE,257,452,8,1,0,0,0,141,High,48.93,Medium Risk,No,Improve consistency
STU1601,20,Female,IT,130,324,15,8,0,0,1,129,Low,57.67,Medium Risk,No,Improve consistency
STU1602,19,Female,IT,181,186,35,3,0,0,0,228,Low,38.87,Low Risk,No,Maintain performance
STU1603,18,Female,IT,41,237,47,5,1,0,0,169,Low,56.33,Medium Risk,No,Improve consistency
STU1604,22,Male,IT,103,712,32,0,0,0,1,118,High,67.07,Medium Risk,No,Improve consistency
STU1605,22,Male,IT,102,681,30,8,1,0,0,247,Low,52.4,Medium Risk,No,Improve consistency
STU1606,21,Female,ECE,131,276,5,4,0,0,0,76,Low,61.53,Medium Risk,No,Improve consistency
STU1607,24,Female,CSE,172,388,9,2,0,0,0,196,Low,57.67,Medium Risk,No,Improve consistency
STU1608,19,Female,EEE,84,498,15,3,0,0,0,45,Low,63.8,Medium Risk,No,Improve consistency
STU1609,18,Male,EEE,298,711,3,0,0,0,1,58,High,58.47,Medium Risk,No,Improve consistency
STU1610,21,Female,IT,130,696,21,8,0,1,1,265,High,64.07,Medium Risk,No,Improve consistency
STU1611,20,Female,EEE,154,299,12,7,0,0,0,116,Low,48.27,Medium Risk,No,Improve consistency
STU1612,21,Male,IT,20,366,15,3,0,0,0,17,Low,72.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1613,21,Female,ECE,32,666,28,1,0,0,1,245,Low,76.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1614,19,Male,ECE,177,753,5,8,0,0,1,187,High,57.4,Medium Risk,No,Improve consistency
STU1615,20,Male,CSE,50,213,25,3,0,0,0,251,Low,62.33,Medium Risk,No,Improve consistency
STU1616,21,Male,ECE,240,222,10,8,0,0,1,50,Low,46,Medium Risk,No,Improve consistency
STU1617,18,Female,ECE,218,561,23,9,0,0,0,254,High,29.13,Low Risk,No,Maintain performance
STU1618,18,Female,CSE,89,796,28,2,0,0,0,122,High,57.33,Medium Risk,No,Improve consistency
STU1619,22,Male,EEE,286,332,2,6,0,0,1,265,Low,48.67,Medium Risk,No,Improve consistency
STU1620,20,Female,IT,236,603,9,6,1,0,0,175,High,51.13,Medium Risk,No,Improve consistency
STU1621,20,Female,IT,89,190,0,9,0,0,0,87,Low,60.13,Medium Risk,No,Improve consistency
STU1622,22,Female,EEE,69,508,42,3,0,0,0,216,Low,49.6,Medium Risk,No,Improve consistency
STU1623,21,Female,CSE,138,329,25,1,0,0,0,205,Low,54.6,Medium Risk,No,Improve consistency
STU1624,20,Male,EEE,155,92,11,8,1,0,0,73,Low,56.73,Medium Risk,No,Improve consistency
STU1625,18,Female,ECE,119,312,13,3,0,0,1,149,Low,70.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1626,18,Male,CSE,68,271,24,7,0,0,0,51,Low,52.53,Medium Risk,No,Improve consistency
STU1627,19,Male,CSE,162,793,7,1,0,0,0,218,High,62.2,Medium Risk,No,Improve consistency
STU1628,20,Female,CSE,81,209,42,7,0,0,0,82,Low,40,Low Risk,No,Maintain performance
STU1629,21,Male,IT,150,249,3,9,0,0,0,162,Low,50.2,Medium Risk,No,Improve consistency
STU1630,22,Female,EEE,229,701,27,4,0,0,0,144,High,35.27,Low Risk,No,Maintain performance
STU1631,22,Female,CSE,107,692,6,6,1,0,0,273,Low,70.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1632,21,Male,CSE,92,304,9,6,1,1,0,225,Low,80.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1633,24,Male,CSE,172,521,35,8,0,1,1,218,High,50.07,Medium Risk,No,Improve consistency
STU1634,23,Male,EEE,174,698,1,2,0,0,0,213,Low,62.2,Medium Risk,No,Improve consistency
STU1635,19,Male,IT,139,405,25,9,0,1,1,119,Low,58.47,Medium Risk,No,Improve consistency
STU1636,22,Female,ECE,54,758,49,3,0,0,0,40,High,47.4,Medium Risk,No,Improve consistency
STU1637,20,Female,IT,138,147,13,9,0,0,1,21,Low,55.8,Medium Risk,No,Improve consistency
STU1638,19,Female,CSE,141,138,15,3,0,1,0,136,Low,66.2,Medium Risk,No,Improve consistency
STU1639,20,Male,IT,249,58,42,9,0,1,1,203,Low,33.6,Low Risk,No,Maintain performance
STU1640,24,Male,IT,113,685,41,4,0,1,0,149,High,52.33,Medium Risk,No,Improve consistency
STU1641,18,Male,ECE,291,798,16,5,0,0,1,36,High,41.6,Medium Risk,No,Improve consistency
STU1642,19,Female,EEE,25,302,45,2,0,0,0,55,Low,55.67,Medium Risk,No,Improve consistency
STU1643,22,Male,EEE,94,637,21,3,0,0,1,144,Low,68.87,Medium Risk,No,Improve consistency
STU1644,19,Female,IT,116,545,3,2,0,0,1,67,Low,78.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1645,19,Male,IT,81,320,18,1,0,0,1,22,Low,76.4,High Risk,Yes,"Attend mentoring, increase activity"
STU1646,19,Female,EEE,181,546,1,9,1,1,0,109,Low,67.27,Medium Risk,No,Improve consistency
STU1647,23,Female,EEE,152,648,38,8,1,0,0,58,High,40.93,Medium Risk,No,Improve consistency
STU1648,19,Male,ECE,105,243,8,0,0,0,1,103,Low,81.2,High Risk,Yes,"Attend mentoring, increase activity"
STU1649,20,Male,CSE,250,218,18,1,0,0,0,104,Low,43.87,Medium Risk,No,Improve consistency
STU1650,18,Female,IT,121,614,15,7,0,0,0,154,Low,50.87,Medium Risk,No,Improve consistency
STU1651,24,Female,EEE,96,103,24,6,0,0,0,81,Low,50.8,Medium Risk,No,Improve consistency
STU1652,21,Male,IT,32,336,47,0,0,1,0,19,Low,67.53,Medium Risk,No,Improve consistency
STU1653,19,Male,IT,29,234,17,4,0,0,0,171,Low,67.93,Medium Risk,No,Improve consistency
STU1654,22,Female,EEE,62,20,22,9,0,0,0,223,Low,50.53,Medium Risk,No,Improve consistency
STU1655,19,Male,ECE,138,338,20,5,0,1,0,13,Low,59.6,Medium Risk,No,Improve consistency
STU1656,22,Female,IT,253,21,10,4,1,1,0,233,Low,62.27,Medium Risk,No,Improve consistency
STU1657,20,Female,ECE,42,44,38,3,0,1,0,38,Low,65.6,Medium Risk,No,Improve consistency
STU1658,22,Male,EEE,79,456,40,0,0,1,1,212,Low,75.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1659,21,Male,CSE,146,461,3,6,0,0,0,86,Low,56.73,Medium Risk,No,Improve consistency
STU1660,18,Male,CSE,172,749,24,8,0,1,0,68,High,46.67,Medium Risk,No,Improve consistency
STU1661,22,Male,IT,263,229,31,5,0,0,0,205,Low,26.33,Low Risk,No,Maintain performance
STU1662,22,Male,EEE,229,450,29,2,0,1,1,116,High,58.07,Medium Risk,No,Improve consistency
STU1663,18,Female,ECE,156,662,44,9,0,0,0,18,High,24.8,Low Risk,No,Maintain performance
STU1664,21,Female,IT,23,544,25,3,1,0,0,29,Low,75.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1665,19,Male,EEE,150,604,35,9,0,0,0,158,High,31,Low Risk,No,Maintain performance
STU1666,22,Male,EEE,245,238,33,4,1,0,0,26,Low,39.53,Low Risk,No,Maintain performance
STU1667,18,Male,ECE,241,353,8,0,0,0,0,21,Low,53.07,Medium Risk,No,Improve consistency
STU1668,20,Female,IT,39,89,11,4,0,0,1,91,Low,80.2,High Risk,Yes,"Attend mentoring, increase activity"
STU1669,18,Male,EEE,194,362,1,0,0,1,0,76,Low,73.53,High Risk,Yes,"Attend mentoring, increase activity"
STU1670,20,Male,EEE,5,405,37,8,0,0,0,142,Low,51.13,Medium Risk,No,Improve consistency
STU1671,21,Female,EEE,157,299,4,6,1,0,0,62,Low,64.67,Medium Risk,No,Improve consistency
STU1672,19,Female,ECE,130,464,4,2,0,1,1,215,Low,86.27,High Risk,Yes,"Attend mentoring, increase activity"
STU1673,18,Male,IT,230,680,21,8,0,0,0,242,High,30.73,Low Risk,No,Maintain performance
STU1674,24,Male,IT,225,137,4,1,0,0,0,63,Low,55.6,Medium Risk,No,Improve consistency
STU1675,24,Male,IT,215,711,3,6,0,0,0,77,High,47.53,Medium Risk,No,Improve consistency
STU1676,23,Female,IT,29,552,8,8,0,0,0,178,Low,65.33,Medium Risk,No,Improve consistency
STU1677,22,Male,CSE,20,368,28,5,0,1,1,170,Low,80.53,High Risk,Yes,"Attend mentoring, increase activity"
STU1678,21,Male,CSE,186,536,21,9,1,1,0,24,Low,54.6,Medium Risk,No,Improve consistency
STU1679,18,Male,IT,133,322,26,4,0,0,0,200,Low,48.67,Medium Risk,No,Improve consistency
STU1680,24,Female,ECE,46,84,9,6,0,0,0,24,Low,66.47,Medium Risk,No,Improve consistency
STU1681,22,Female,CSE,240,555,15,5,0,0,0,296,High,39,Low Risk,No,Maintain performance
STU1682,24,Male,EEE,38,205,41,4,0,0,0,19,Low,52.33,Medium Risk,No,Improve consistency
STU1683,18,Male,CSE,49,38,41,1,0,0,1,66,Low,66.87,Medium Risk,No,Improve consistency
STU1684,20,Female,EEE,138,715,9,7,1,0,0,208,Low,62.2,Medium Risk,No,Improve consistency
STU1685,18,Female,IT,25,25,5,6,0,0,0,170,Low,71.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1686,23,Female,CSE,126,432,48,5,0,0,0,272,Low,34.4,Low Risk,No,Maintain performance
STU1687,18,Female,ECE,74,598,4,4,0,0,1,262,Low,79.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1688,18,Female,CSE,52,602,5,4,1,0,0,128,Low,82.07,High Risk,Yes,"Attend mentoring, increase activity"
STU1689,23,Female,CSE,43,414,46,8,1,1,1,89,Low,70.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1690,21,Female,CSE,291,645,24,0,0,0,0,133,High,36.8,Low Risk,No,Maintain performance
STU1691,18,Female,IT,14,540,49,8,0,1,0,81,Low,52.73,Medium Risk,No,Improve consistency
STU1692,23,Female,ECE,34,623,3,5,0,1,0,177,Low,83.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1693,22,Male,CSE,248,86,39,3,1,0,0,293,Low,37.53,Low Risk,No,Maintain performance
STU1694,20,Male,ECE,278,238,47,9,0,0,0,45,High,6.73,Low Risk,No,Maintain performance
STU1695,20,Male,IT,92,306,31,6,0,0,0,184,Low,47.13,Medium Risk,No,Improve consistency
STU1696,18,Female,EEE,248,519,34,8,0,0,0,208,High,20.53,Low Risk,No,Maintain performance
STU1697,21,Male,CSE,19,724,9,4,0,0,0,125,Low,74.07,High Risk,Yes,"Attend mentoring, increase activity"
STU1698,21,Female,ECE,8,582,33,4,0,1,0,229,Low,71.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1699,22,Female,ECE,195,547,35,7,1,1,0,75,High,49,Medium Risk,No,Improve consistency
STU1700,18,Male,IT,172,592,5,6,0,0,1,274,Low,62.07,Medium Risk,No,Improve consistency
STU1701,20,Female,CSE,13,624,42,7,0,1,0,143,Low,59.07,Medium Risk,No,Improve consistency
STU1702,21,Male,EEE,113,335,45,9,0,0,1,128,Low,39.93,Low Risk,No,Maintain performance
STU1703,18,Male,ECE,141,372,15,1,1,1,0,131,Low,80.2,High Risk,Yes,"Attend mentoring, increase activity"
STU1704,24,Male,CSE,158,678,18,8,1,0,0,96,High,52.13,Medium Risk,No,Improve consistency
STU1705,21,Female,EEE,213,368,33,2,0,0,1,298,Low,47.8,Medium Risk,No,Improve consistency
STU1706,23,Male,ECE,276,715,24,5,1,0,0,146,High,38.8,Low Risk,No,Maintain performance
STU1707,24,Female,ECE,147,796,30,5,0,1,0,62,High,52.4,Medium Risk,No,Improve consistency
STU1708,21,Male,EEE,103,333,48,1,0,0,0,214,Low,45.47,Medium Risk,No,Improve consistency
STU1709,20,Male,EEE,73,707,40,6,0,0,0,60,High,44.27,Medium Risk,No,Improve consistency
STU1710,19,Male,IT,251,335,16,8,1,1,1,49,Low,60.93,Medium Risk,No,Improve consistency
STU1711,24,Female,CSE,265,634,46,9,1,1,1,259,High,39.07,Low Risk,No,Maintain performance
STU1712,22,Female,CSE,280,174,29,0,0,0,0,227,Low,35.27,Low Risk,No,Maintain performance
STU1713,22,Female,IT,83,582,38,7,0,0,0,188,Low,42.13,Medium Risk,No,Improve consistency
STU1714,20,Male,ECE,150,613,30,1,0,0,1,48,High,60,Medium Risk,No,Improve consistency
STU1715,21,Male,EEE,115,464,18,0,1,0,0,192,Low,73.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1716,18,Female,EEE,262,162,34,7,0,0,0,233,Low,20.67,Low Risk,No,Maintain performance
STU1717,21,Female,EEE,97,746,28,1,0,0,0,173,High,58.27,Medium Risk,No,Improve consistency
STU1718,20,Female,ECE,17,136,0,5,0,0,0,243,Low,77.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1719,22,Female,EEE,264,202,3,5,0,0,1,202,Low,53,Medium Risk,No,Improve consistency
STU1720,21,Female,EEE,113,636,27,4,0,0,0,94,Low,50.73,Medium Risk,No,Improve consistency
STU1721,22,Female,IT,193,783,17,7,0,0,0,252,High,40.07,Medium Risk,No,Improve consistency
STU1722,24,Male,ECE,99,539,25,2,0,0,0,182,Low,57.8,Medium Risk,No,Improve consistency
STU1723,18,Female,CSE,109,19,39,9,1,0,1,46,Low,54.07,Medium Risk,No,Improve consistency
STU1724,24,Male,IT,12,101,18,3,0,0,0,96,Low,71.6,High Risk,Yes,"Attend mentoring, increase activity"
STU1725,22,Male,IT,71,148,5,6,1,0,1,138,Low,85.53,High Risk,Yes,"Attend mentoring, increase activity"
STU1726,22,Female,CSE,195,490,0,6,0,1,1,203,Low,72,High Risk,Yes,"Attend mentoring, increase activity"
STU1727,19,Female,IT,260,458,7,7,0,0,0,52,High,37.13,Low Risk,No,Maintain performance
STU1728,19,Male,ECE,13,342,32,1,0,0,0,168,Low,67.07,Medium Risk,No,Improve consistency
STU1729,24,Female,EEE,121,349,42,1,0,0,0,114,Low,46.67,Medium Risk,No,Improve consistency
STU1730,23,Female,ECE,271,61,20,3,0,0,1,238,Low,45.87,Medium Risk,No,Improve consistency
STU1731,24,Male,CSE,103,716,23,9,0,0,1,226,Low,54.47,Medium Risk,No,Improve consistency
STU1732,19,Male,CSE,168,475,24,8,0,1,0,273,Low,47.2,Medium Risk,No,Improve consistency
STU1733,22,Male,IT,145,727,46,9,0,0,0,58,High,25.07,Low Risk,No,Maintain performance
STU1734,20,Female,ECE,272,484,42,8,0,0,0,132,High,12.53,Low Risk,No,Maintain performance
STU1735,24,Male,ECE,41,410,18,3,0,0,1,34,Low,77.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1736,22,Female,CSE,78,448,28,8,0,1,0,140,Low,56.8,Medium Risk,No,Improve consistency
STU1737,20,Male,ECE,77,614,9,2,0,0,0,233,Low,70.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1738,20,Male,CSE,203,666,11,4,0,0,0,108,High,48.33,Medium Risk,No,Improve consistency
STU1739,19,Male,ECE,134,607,32,9,1,0,0,299,High,44.93,Medium Risk,No,Improve consistency
STU1740,24,Female,ECE,250,518,6,8,0,1,0,206,High,47.07,Medium Risk,No,Improve consistency
STU1741,21,Female,ECE,64,162,16,5,0,0,0,118,Low,61.87,Medium Risk,No,Improve consistency
STU1742,18,Male,CSE,283,523,9,2,0,0,0,229,High,42.87,Medium Risk,No,Improve consistency
STU1743,19,Male,IT,107,512,30,9,0,1,0,273,Low,49.73,Medium Risk,No,Improve consistency
STU1744,19,Male,ECE,155,781,5,8,0,1,1,217,High,70.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1745,21,Female,CSE,161,685,16,5,1,0,0,91,High,58.93,Medium Risk,No,Improve consistency
STU1746,18,Male,CSE,210,15,49,3,0,1,0,34,Low,36.6,Low Risk,No,Maintain performance
STU1747,22,Female,ECE,183,509,36,3,0,0,0,195,High,38,Low Risk,No,Maintain performance
STU1748,23,Male,ECE,201,670,17,7,0,0,0,17,High,39,Low Risk,No,Maintain performance
STU1749,24,Male,IT,227,726,25,6,0,0,0,133,High,32.73,Low Risk,No,Maintain performance
STU1750,23,Male,CSE,93,127,48,0,0,0,1,158,Low,58.8,Medium Risk,No,Improve consistency
STU1751,22,Male,CSE,291,494,15,5,0,0,0,107,High,32.2,Low Risk,No,Maintain performance
STU1752,19,Male,EEE,280,610,7,7,0,0,0,225,High,34.47,Low Risk,No,Maintain performance
STU1753,18,Male,CSE,240,675,23,2,0,1,0,110,High,50.2,Medium Risk,No,Improve consistency
STU1754,19,Female,IT,187,688,12,8,0,1,0,227,High,51.87,Medium Risk,No,Improve consistency
STU1755,20,Male,EEE,213,477,28,9,0,0,0,268,High,26.8,Low Risk,No,Maintain performance
STU1756,19,Female,EEE,134,170,31,1,0,0,1,20,Low,61.53,Medium Risk,No,Improve consistency
STU1757,19,Male,EEE,157,279,23,5,0,0,0,68,Low,45.27,Medium Risk,No,Improve consistency
STU1758,22,Male,ECE,17,65,15,0,0,0,0,259,Low,78.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1759,22,Female,ECE,126,237,10,1,0,0,1,149,Low,75.2,High Risk,Yes,"Attend mentoring, increase activity"
STU1760,22,Male,CSE,224,158,31,4,0,0,0,47,Low,33.53,Low Risk,No,Maintain performance
STU1761,23,Female,EEE,110,55,5,0,0,0,0,131,Low,72.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1762,20,Female,IT,74,153,34,7,1,0,0,74,Low,55.73,Medium Risk,No,Improve consistency
STU1763,22,Male,ECE,199,759,32,0,0,1,0,155,High,54.27,Medium Risk,No,Improve consistency
STU1764,18,Female,IT,190,793,17,8,0,1,0,134,High,48.47,Medium Risk,No,Improve consistency
STU1765,23,Female,IT,103,641,36,9,0,0,1,200,High,46.67,Medium Risk,No,Improve consistency
STU1766,21,Male,ECE,86,349,12,2,0,0,1,272,Low,77.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1767,18,Female,ECE,79,422,9,1,1,0,1,191,Low,92.07,High Risk,Yes,"Attend mentoring, increase activity"
STU1768,24,Male,ECE,196,741,36,0,0,0,0,168,High,42.27,Medium Risk,No,Improve consistency
STU1769,24,Male,ECE,218,529,25,8,0,0,1,296,High,39.93,Low Risk,No,Maintain performance
STU1770,18,Male,EEE,148,353,45,3,0,0,0,171,Low,37.27,Low Risk,No,Maintain performance
STU1771,22,Male,EEE,220,396,16,0,0,0,0,272,Low,51.07,Medium Risk,No,Improve consistency
STU1772,21,Female,EEE,19,482,0,0,0,0,0,226,Low,87.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1773,21,Male,EEE,221,284,24,6,0,0,0,190,Low,34.13,Low Risk,No,Maintain performance
STU1774,23,Male,CSE,39,362,33,1,0,0,1,100,Low,73,High Risk,Yes,"Attend mentoring, increase activity"
STU1775,21,Female,EEE,187,75,38,6,0,0,0,26,Low,30.27,Low Risk,No,Maintain performance
STU1776,24,Male,ECE,274,88,9,6,0,1,1,134,Low,56.07,Medium Risk,No,Improve consistency
STU1777,20,Male,IT,104,607,19,9,1,1,0,269,Low,66.73,Medium Risk,No,Improve consistency
STU1778,22,Female,EEE,11,645,6,8,0,0,0,223,Low,68.93,Medium Risk,No,Improve consistency
STU1779,21,Female,CSE,34,211,15,6,0,0,0,248,Low,64.47,Medium Risk,No,Improve consistency
STU1780,23,Female,ECE,148,671,36,0,0,1,0,189,High,58.67,Medium Risk,No,Improve consistency
STU1781,24,Female,IT,115,567,28,7,0,0,1,181,Low,53.87,Medium Risk,No,Improve consistency
STU1782,20,Female,IT,236,122,11,7,0,1,0,152,Low,47.93,Medium Risk,No,Improve consistency
STU1783,19,Female,EEE,183,100,16,3,0,0,1,253,Low,60,Medium Risk,No,Improve consistency
STU1784,19,Female,IT,76,150,47,7,0,1,0,241,Low,47.67,Medium Risk,No,Improve consistency
STU1785,20,Male,EEE,214,298,19,3,0,1,0,181,Low,54.07,Medium Risk,No,Improve consistency
STU1786,24,Female,EEE,224,739,25,7,0,0,0,286,High,31.13,Low Risk,No,Maintain performance
STU1787,23,Female,ECE,84,598,47,4,1,0,1,86,Low,62.6,Medium Risk,No,Improve consistency
STU1788,20,Female,ECE,87,420,18,3,0,0,0,58,Low,61.6,Medium Risk,No,Improve consistency
STU1789,22,Male,CSE,46,386,46,5,0,0,0,257,Low,46.27,Medium Risk,No,Improve consistency
STU1790,22,Male,ECE,277,393,11,1,1,0,0,292,High,54.47,Medium Risk,No,Improve consistency
STU1791,19,Female,ECE,195,161,20,1,0,0,0,296,Low,50,Medium Risk,No,Improve consistency
STU1792,21,Female,EEE,177,760,41,1,0,0,0,41,High,39.8,Low Risk,No,Maintain performance
STU1793,23,Female,ECE,11,636,33,8,0,0,0,167,Low,52.73,Medium Risk,No,Improve consistency
STU1794,19,Male,EEE,159,328,6,9,0,1,0,27,Low,57.2,Medium Risk,No,Improve consistency
STU1795,21,Male,EEE,14,378,44,2,0,0,0,72,Low,57.73,Medium Risk,No,Improve consistency
STU1796,21,Female,ECE,38,615,34,9,0,0,0,137,Low,46.53,Medium Risk,No,Improve consistency
STU1797,22,Male,CSE,40,569,14,3,0,0,0,25,Low,70.27,High Risk,Yes,"Attend mentoring, increase activity"
STU1798,24,Female,CSE,10,712,0,9,0,0,0,172,Low,70.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1799,18,Male,IT,219,471,25,7,1,0,0,260,High,41.8,Medium Risk,No,Improve consistency
STU1800,24,Male,IT,138,21,34,3,0,1,0,146,Low,55.2,Medium Risk,No,Improve consistency
STU1801,18,Female,ECE,289,165,24,9,1,0,0,188,Low,29.07,Low Risk,No,Maintain performance
STU1802,20,Female,CSE,130,693,41,9,1,0,0,238,High,40.07,Medium Risk,No,Improve consistency
STU1803,22,Female,EEE,178,486,14,6,0,0,0,189,Low,45.87,Medium Risk,No,Improve consistency
STU1804,21,Female,IT,156,410,21,4,1,0,0,81,Low,58.6,Medium Risk,No,Improve consistency
STU1805,23,Male,EEE,30,186,5,8,0,1,0,92,Low,77,High Risk,Yes,"Attend mentoring, increase activity"
STU1806,18,Male,IT,119,350,14,3,1,0,0,145,Low,69.73,Medium Risk,No,Improve consistency
STU1807,24,Male,ECE,288,66,23,2,0,0,1,227,Low,43.8,Medium Risk,No,Improve consistency
STU1808,21,Female,CSE,79,457,20,1,0,0,0,118,Low,65.47,Medium Risk,No,Improve consistency
STU1809,18,Male,IT,170,212,6,0,0,1,0,128,Low,73.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1810,18,Female,CSE,193,706,28,5,0,0,0,27,High,37.47,Low Risk,No,Maintain performance
STU1811,18,Male,EEE,82,642,31,9,1,1,0,163,Low,62.47,Medium Risk,No,Improve consistency
STU1812,23,Female,ECE,94,747,31,1,1,0,0,20,High,66.87,Medium Risk,No,Improve consistency
STU1813,22,Female,CSE,180,211,4,7,0,0,1,147,Low,59.6,Medium Risk,No,Improve consistency
STU1814,23,Male,ECE,25,339,3,5,1,0,0,71,Low,84.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1815,19,Female,CSE,58,372,21,4,0,0,1,80,Low,71.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1816,21,Female,EEE,188,463,17,1,0,0,0,70,Low,52.73,Medium Risk,No,Improve consistency
STU1817,22,Male,EEE,226,365,34,6,0,0,1,141,High,37.47,Low Risk,No,Maintain performance
STU1818,22,Female,ECE,183,225,16,1,0,0,1,70,Low,64,Medium Risk,No,Improve consistency
STU1819,22,Female,EEE,280,564,49,4,0,1,0,278,High,25.27,Low Risk,No,Maintain performance
STU1820,24,Female,IT,116,32,49,1,0,0,0,21,Low,43.13,Medium Risk,No,Improve consistency
STU1821,22,Male,CSE,228,164,23,9,0,0,0,44,Low,27.8,Low Risk,No,Maintain performance
STU1822,23,Male,EEE,218,195,1,1,0,0,1,60,Low,68.33,Medium Risk,No,Improve consistency
STU1823,22,Female,IT,63,258,12,6,0,0,0,52,Low,62.4,Medium Risk,No,Improve consistency
STU1824,20,Male,ECE,113,758,14,8,0,0,0,237,Low,50.53,Medium Risk,No,Improve consistency
STU1825,21,Female,IT,161,143,4,4,0,0,0,120,Low,58.13,Medium Risk,No,Improve consistency
STU1826,22,Female,ECE,195,330,2,6,1,0,0,24,Low,60.8,Medium Risk,No,Improve consistency
STU1827,21,Female,ECE,204,399,36,3,1,0,1,186,High,55.2,Medium Risk,No,Improve consistency
STU1828,20,Female,CSE,200,443,36,1,0,0,0,171,High,39.73,Low Risk,No,Maintain performance
STU1829,20,Female,CSE,39,31,36,2,0,1,0,48,Low,69.2,Medium Risk,No,Improve consistency
STU1830,21,Male,IT,250,609,2,1,1,0,0,35,High,63.47,Medium Risk,No,Improve consistency
STU1831,18,Female,CSE,241,674,34,4,0,0,0,121,High,29.47,Low Risk,No,Maintain performance
STU1832,19,Male,CSE,108,134,22,5,0,1,1,60,Low,72.4,High Risk,Yes,"Attend mentoring, increase activity"
STU1833,24,Male,CSE,11,88,27,6,0,0,1,107,Low,70.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1834,18,Female,IT,287,60,29,2,0,0,0,179,Low,30.33,Low Risk,No,Maintain performance
STU1835,18,Female,EEE,5,737,17,3,0,0,0,65,Low,73.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1836,23,Male,CSE,223,185,35,7,0,1,1,230,Low,45.27,Medium Risk,No,Improve consistency
STU1837,24,Male,CSE,234,262,32,3,0,1,0,155,Low,43.6,Medium Risk,No,Improve consistency
STU1838,24,Male,IT,176,255,25,6,0,0,0,269,Low,39.53,Low Risk,No,Maintain performance
STU1839,18,Female,EEE,91,748,47,5,1,0,0,138,High,49.67,Medium Risk,No,Improve consistency
STU1840,22,Male,CSE,45,115,39,6,0,0,0,59,Low,48.6,Medium Risk,No,Improve consistency
STU1841,23,Female,ECE,127,202,16,0,0,0,0,29,Low,63.47,Medium Risk,No,Improve consistency
STU1842,23,Female,IT,182,325,39,2,0,0,1,183,Low,48.33,Medium Risk,No,Improve consistency
STU1843,20,Female,CSE,67,311,6,5,0,1,0,292,Low,77.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1844,24,Male,CSE,169,557,7,2,1,0,0,35,Low,69.27,Medium Risk,No,Improve consistency
STU1845,18,Female,ECE,191,725,30,6,0,0,0,169,High,34.53,Low Risk,No,Maintain performance
STU1846,20,Female,ECE,213,788,11,8,1,1,1,19,High,69,Medium Risk,No,Improve consistency
STU1847,21,Female,IT,231,277,47,2,0,0,0,91,High,27,Low Risk,No,Maintain performance
STU1848,19,Female,IT,52,179,30,0,0,0,0,265,Low,65.07,Medium Risk,No,Improve consistency
STU1849,23,Female,ECE,228,560,43,9,0,0,0,114,High,15.8,Low Risk,No,Maintain performance
